EQIPMENT_ID	OTHER_ID	MTF_ID		SerNum		Correct_OTHERID	Correct_SerNum
29046		VMM3_1000175	20MNEVMM300086	1000175		VMM3_0000175	175
29047		VMM3_1000178	20MNEVMM300087	1000178		VMM3_0000178	178
29048		VMM3_1000179	20MNEVMM300088	1000179		VMM3_0000179	179
29049		VMM3_1000181	20MNEVMM300089	1000181		VMM3_0000181	181
29050		VMM3_1000182	20MNEVMM300090	1000182		VMM3_0000182	182
29051		VMM3_1000183	20MNEVMM300091	1000183		VMM3_0000183	183
29052		VMM3_1000184	20MNEVMM300092	1000184		VMM3_0000184	184
29053		VMM3_1000185	20MNEVMM300093	1000185		VMM3_0000185	185
29054		VMM3_1000186	20MNEVMM300094	1000186		VMM3_0000186	186
29055		VMM3_1000187	20MNEVMM300095	1000187		VMM3_0000187	187
29056		VMM3_1000188	20MNEVMM300096	1000188		VMM3_0000188	188
29057		VMM3_1000189	20MNEVMM300097	1000189		VMM3_0000189	189
29058		VMM3_1000191	20MNEVMM300098	1000191		VMM3_0000191	191
29059		VMM3_1000192	20MNEVMM300099	1000192		VMM3_0000192	192
29060		VMM3_1000193	20MNEVMM300100	1000193		VMM3_0000193	193
29061		VMM3_1000196	20MNEVMM300101	1000196		VMM3_0000196	196
29062		VMM3_1000199	20MNEVMM300102	1000199		VMM3_0000199	199
29063		VMM3_1000200	20MNEVMM300103	1000200		VMM3_0000200	200
29064		VMM3_1000201	20MNEVMM300104	1000201		VMM3_0000201	201
29065		VMM3_1000203	20MNEVMM300105	1000203		VMM3_0000203	203
29066		VMM3_1000204	20MNEVMM300106	1000204		VMM3_0000204	204
29067		VMM3_1000205	20MNEVMM300107	1000205		VMM3_0000205	205
29068		VMM3_1000206	20MNEVMM300108	1000206		VMM3_0000206	206
29069		VMM3_1000208	20MNEVMM300109	1000208		VMM3_0000208	208
29070		VMM3_1000210	20MNEVMM300110	1000210		VMM3_0000210	210
29071		VMM3_1000211	20MNEVMM300111	1000211		VMM3_0000211	211
29072		VMM3_1000212	20MNEVMM300112	1000212		VMM3_0000212	212
29073		VMM3_1000215	20MNEVMM300113	1000215		VMM3_0000215	215
29074		VMM3_1000216	20MNEVMM300114	1000216		VMM3_0000216	216
29075		VMM3_1000217	20MNEVMM300115	1000217		VMM3_0000217	217
29076		VMM3_1000219	20MNEVMM300116	1000219		VMM3_0000219	219
29077		VMM3_1000221	20MNEVMM300117	1000221		VMM3_0000221	221
29078		VMM3_1000224	20MNEVMM300118	1000224		VMM3_0000224	224
29079		VMM3_1000225	20MNEVMM300119	1000225		VMM3_0000225	225
29080		VMM3_1000226	20MNEVMM300120	1000226		VMM3_0000226	226
29081		VMM3_1000227	20MNEVMM300121	1000227		VMM3_0000227	227
29082		VMM3_1000228	20MNEVMM300122	1000228		VMM3_0000228	228
29083		VMM3_1000229	20MNEVMM300123	1000229		VMM3_0000229	229
29084		VMM3_1000231	20MNEVMM300124	1000231		VMM3_0000231	231
29085		VMM3_1000234	20MNEVMM300125	1000234		VMM3_0000234	234
29086		VMM3_1000235	20MNEVMM300126	1000235		VMM3_0000235	235
29087		VMM3_1000236	20MNEVMM300127	1000236		VMM3_0000236	236
29088		VMM3_1000237	20MNEVMM300128	1000237		VMM3_0000237	237
29089		VMM3_1000238	20MNEVMM300129	1000238		VMM3_0000238	238
29090		VMM3_1000241	20MNEVMM300130	1000241		VMM3_0000241	241
29091		VMM3_1000244	20MNEVMM300131	1000244		VMM3_0000244	244
29092		VMM3_1000245	20MNEVMM300132	1000245		VMM3_0000245	245
29093		VMM3_1000246	20MNEVMM300133	1000246		VMM3_0000246	246
29094		VMM3_1000247	20MNEVMM300134	1000247		VMM3_0000247	247
29095		VMM3_1000248	20MNEVMM300135	1000248		VMM3_0000248	248
29096		VMM3_1000250	20MNEVMM300136	1000250		VMM3_0000250	250
29097		VMM3_1000251	20MNEVMM300137	1000251		VMM3_0000251	251
29098		VMM3_1000252	20MNEVMM300138	1000252		VMM3_0000252	252
29099		VMM3_1000253	20MNEVMM300139	1000253		VMM3_0000253	253
29100		VMM3_1000254	20MNEVMM300140	1000254		VMM3_0000254	254
29101		VMM3_1000257	20MNEVMM300141	1000257		VMM3_0000257	257
29102		VMM3_1000260	20MNEVMM300142	1000260		VMM3_0000260	260
29103		VMM3_1000263	20MNEVMM300143	1000263		VMM3_0000263	263
29104		VMM3_1000264	20MNEVMM300144	1000264		VMM3_0000264	264
29105		VMM3_1000267	20MNEVMM300145	1000267		VMM3_0000267	267
29106		VMM3_1000268	20MNEVMM300146	1000268		VMM3_0000268	268
29107		VMM3_1000269	20MNEVMM300147	1000269		VMM3_0000269	269
29108		VMM3_1000271	20MNEVMM300148	1000271		VMM3_0000271	271
29109		VMM3_1000275	20MNEVMM300149	1000275		VMM3_0000275	275
29110		VMM3_1000276	20MNEVMM300150	1000276		VMM3_0000276	276
29111		VMM3_1000277	20MNEVMM300151	1000277		VMM3_0000277	277
29112		VMM3_1000278	20MNEVMM300152	1000278		VMM3_0000278	278
29113		VMM3_1000279	20MNEVMM300153	1000279		VMM3_0000279	279
29114		VMM3_1000280	20MNEVMM300154	1000280		VMM3_0000280	280
29115		VMM3_1000283	20MNEVMM300155	1000283		VMM3_0000283	283
29116		VMM3_1000284	20MNEVMM300156	1000284		VMM3_0000284	284
29117		VMM3_1000285	20MNEVMM300157	1000285		VMM3_0000285	285
29118		VMM3_1000287	20MNEVMM300158	1000287		VMM3_0000287	287
29119		VMM3_1000288	20MNEVMM300159	1000288		VMM3_0000288	288
29120		VMM3_1000290	20MNEVMM300160	1000290		VMM3_0000290	290
29121		VMM3_1000291	20MNEVMM300161	1000291		VMM3_0000291	291
29122		VMM3_1000294	20MNEVMM300162	1000294		VMM3_0000294	294
29123		VMM3_1000295	20MNEVMM300163	1000295		VMM3_0000295	295
29124		VMM3_1000296	20MNEVMM300164	1000296		VMM3_0000296	296
29125		VMM3_1000298	20MNEVMM300165	1000298		VMM3_0000298	298
29126		VMM3_1000299	20MNEVMM300166	1000299		VMM3_0000299	299
29127		VMM3_1000300	20MNEVMM300167	1000300		VMM3_0000300	300
29128		VMM3_1000301	20MNEVMM300168	1000301		VMM3_0000301	301
29129		VMM3_1000302	20MNEVMM300169	1000302		VMM3_0000302	302
29130		VMM3_1000303	20MNEVMM300170	1000303		VMM3_0000303	303
29131		VMM3_1000305	20MNEVMM300171	1000305		VMM3_0000305	305
29132		VMM3_1000308	20MNEVMM300172	1000308		VMM3_0000308	308
29133		VMM3_1000309	20MNEVMM300173	1000309		VMM3_0000309	309
29134		VMM3_1000310	20MNEVMM300174	1000310		VMM3_0000310	310
29135		VMM3_1000311	20MNEVMM300175	1000311		VMM3_0000311	311
29136		VMM3_1000312	20MNEVMM300176	1000312		VMM3_0000312	312
29137		VMM3_1000313	20MNEVMM300177	1000313		VMM3_0000313	313
29138		VMM3_1000314	20MNEVMM300178	1000314		VMM3_0000314	314
29139		VMM3_1000315	20MNEVMM300179	1000315		VMM3_0000315	315
29140		VMM3_1000317	20MNEVMM300180	1000317		VMM3_0000317	317
29141		VMM3_1000322	20MNEVMM300181	1000322		VMM3_0000322	322
29142		VMM3_1000323	20MNEVMM300182	1000323		VMM3_0000323	323
29143		VMM3_1000326	20MNEVMM300183	1000326		VMM3_0000326	326
29144		VMM3_1000328	20MNEVMM300184	1000328		VMM3_0000328	328
29145		VMM3_1000329	20MNEVMM300185	1000329		VMM3_0000329	329
29146		VMM3_1000331	20MNEVMM300186	1000331		VMM3_0000331	331
29147		VMM3_1000332	20MNEVMM300187	1000332		VMM3_0000332	332
29148		VMM3_1000333	20MNEVMM300188	1000333		VMM3_0000333	333
29149		VMM3_1000334	20MNEVMM300189	1000334		VMM3_0000334	334
29150		VMM3_1000335	20MNEVMM300190	1000335		VMM3_0000335	335
29151		VMM3_1000336	20MNEVMM300191	1000336		VMM3_0000336	336
29152		VMM3_1000337	20MNEVMM300192	1000337		VMM3_0000337	337
29153		VMM3_1000338	20MNEVMM300193	1000338		VMM3_0000338	338
29154		VMM3_1000342	20MNEVMM300194	1000342		VMM3_0000342	342
29155		VMM3_1000344	20MNEVMM300195	1000344		VMM3_0000344	344
29156		VMM3_1000345	20MNEVMM300196	1000345		VMM3_0000345	345
29157		VMM3_1000346	20MNEVMM300197	1000346		VMM3_0000346	346
29158		VMM3_1000352	20MNEVMM300198	1000352		VMM3_0000352	352
29159		VMM3_1000360	20MNEVMM300199	1000360		VMM3_0000360	360
29160		VMM3_1000015	20MNEVMM300200	1000015		VMM3_0000015	15
29161		VMM3_1000017	20MNEVMM300201	1000017		VMM3_0000017	17
29162		VMM3_1000021	20MNEVMM300202	1000021		VMM3_0000021	21
29163		VMM3_1000027	20MNEVMM300203	1000027		VMM3_0000027	27
29164		VMM3_1000035	20MNEVMM300204	1000035		VMM3_0000035	35
29165		VMM3_1000039	20MNEVMM300205	1000039		VMM3_0000039	39
29166		VMM3_1000040	20MNEVMM300206	1000040		VMM3_0000040	40
29167		VMM3_1000046	20MNEVMM300207	1000046		VMM3_0000046	46
29168		VMM3_1000050	20MNEVMM300208	1000050		VMM3_0000050	50
29169		VMM3_1000051	20MNEVMM300209	1000051		VMM3_0000051	51
29170		VMM3_1000052	20MNEVMM300210	1000052		VMM3_0000052	52
29171		VMM3_1000053	20MNEVMM300211	1000053		VMM3_0000053	53
29172		VMM3_1000054	20MNEVMM300212	1000054		VMM3_0000054	54
29173		VMM3_1000057	20MNEVMM300213	1000057		VMM3_0000057	57
29174		VMM3_1000059	20MNEVMM300214	1000059		VMM3_0000059	59
29175		VMM3_1000065	20MNEVMM300215	1000065		VMM3_0000065	65
29176		VMM3_1000068	20MNEVMM300216	1000068		VMM3_0000068	68
29177		VMM3_1000071	20MNEVMM300217	1000071		VMM3_0000071	71
29178		VMM3_1000073	20MNEVMM300218	1000073		VMM3_0000073	73
29179		VMM3_1000082	20MNEVMM300219	1000082		VMM3_0000082	82
29180		VMM3_1000083	20MNEVMM300220	1000083		VMM3_0000083	83
29181		VMM3_1000092	20MNEVMM300221	1000092		VMM3_0000092	92
29182		VMM3_1000093	20MNEVMM300222	1000093		VMM3_0000093	93
29183		VMM3_1000095	20MNEVMM300223	1000095		VMM3_0000095	95
29184		VMM3_1000097	20MNEVMM300224	1000097		VMM3_0000097	97
29185		VMM3_1000099	20MNEVMM300225	1000099		VMM3_0000099	99
29186		VMM3_1000100	20MNEVMM300226	1000100		VMM3_0000100	100
29187		VMM3_1000103	20MNEVMM300227	1000103		VMM3_0000103	103
29188		VMM3_1000104	20MNEVMM300228	1000104		VMM3_0000104	104
29189		VMM3_1000129	20MNEVMM300229	1000129		VMM3_0000129	129
29190		VMM3_1000131	20MNEVMM300230	1000131		VMM3_0000131	131
29191		VMM3_1000133	20MNEVMM300231	1000133		VMM3_0000133	133
29192		VMM3_1000135	20MNEVMM300232	1000135		VMM3_0000135	135
29193		VMM3_1000136	20MNEVMM300233	1000136		VMM3_0000136	136
29194		VMM3_1000137	20MNEVMM300234	1000137		VMM3_0000137	137
29195		VMM3_1000141	20MNEVMM300235	1000141		VMM3_0000141	141
29196		VMM3_1000147	20MNEVMM300236	1000147		VMM3_0000147	147
29197		VMM3_1000149	20MNEVMM300237	1000149		VMM3_0000149	149
29198		VMM3_1000150	20MNEVMM300238	1000150		VMM3_0000150	150
29199		VMM3_1000155	20MNEVMM300239	1000155		VMM3_0000155	155
29200		VMM3_1000156	20MNEVMM300240	1000156		VMM3_0000156	156
29201		VMM3_1000163	20MNEVMM300241	1000163		VMM3_0000163	163
29202		VMM3_1000165	20MNEVMM300242	1000165		VMM3_0000165	165
29203		VMM3_1000166	20MNEVMM300243	1000166		VMM3_0000166	166
29204		VMM3_1000168	20MNEVMM300244	1000168		VMM3_0000168	168
29205		VMM3_1000169	20MNEVMM300245	1000169		VMM3_0000169	169
29206		VMM3_1000174	20MNEVMM300246	1000174		VMM3_0000174	174
29207		VMM3_1000177	20MNEVMM300247	1000177		VMM3_0000177	177
29208		VMM3_1000180	20MNEVMM300248	1000180		VMM3_0000180	180
29209		VMM3_1000190	20MNEVMM300249	1000190		VMM3_0000190	190
29210		VMM3_1000194	20MNEVMM300250	1000194		VMM3_0000194	194
29211		VMM3_1000195	20MNEVMM300251	1000195		VMM3_0000195	195
29212		VMM3_1000197	20MNEVMM300252	1000197		VMM3_0000197	197
29213		VMM3_1000198	20MNEVMM300253	1000198		VMM3_0000198	198
29214		VMM3_1000207	20MNEVMM300254	1000207		VMM3_0000207	207
29215		VMM3_1000213	20MNEVMM300255	1000213		VMM3_0000213	213
29216		VMM3_1000214	20MNEVMM300256	1000214		VMM3_0000214	214
29217		VMM3_1000218	20MNEVMM300257	1000218		VMM3_0000218	218
29218		VMM3_1000220	20MNEVMM300258	1000220		VMM3_0000220	220
29219		VMM3_1000222	20MNEVMM300259	1000222		VMM3_0000222	222
29220		VMM3_1000223	20MNEVMM300260	1000223		VMM3_0000223	223
29221		VMM3_1000232	20MNEVMM300261	1000232		VMM3_0000232	232
29222		VMM3_1000233	20MNEVMM300262	1000233		VMM3_0000233	233
29223		VMM3_1000239	20MNEVMM300263	1000239		VMM3_0000239	239
29224		VMM3_1000240	20MNEVMM300264	1000240		VMM3_0000240	240
29225		VMM3_1000242	20MNEVMM300265	1000242		VMM3_0000242	242
29226		VMM3_1000243	20MNEVMM300266	1000243		VMM3_0000243	243
29227		VMM3_1000255	20MNEVMM300267	1000255		VMM3_0000255	255
29228		VMM3_1000256	20MNEVMM300268	1000256		VMM3_0000256	256
29229		VMM3_1000258	20MNEVMM300269	1000258		VMM3_0000258	258
29230		VMM3_1000259	20MNEVMM300270	1000259		VMM3_0000259	259
29231		VMM3_1000262	20MNEVMM300271	1000262		VMM3_0000262	262
29232		VMM3_1000266	20MNEVMM300272	1000266		VMM3_0000266	266
29233		VMM3_1000270	20MNEVMM300273	1000270		VMM3_0000270	270
29234		VMM3_1000272	20MNEVMM300274	1000272		VMM3_0000272	272
29235		VMM3_1000273	20MNEVMM300275	1000273		VMM3_0000273	273
29236		VMM3_1000274	20MNEVMM300276	1000274		VMM3_0000274	274
29237		VMM3_1000281	20MNEVMM300277	1000281		VMM3_0000281	281
29238		VMM3_1000282	20MNEVMM300278	1000282		VMM3_0000282	282
29239		VMM3_1000289	20MNEVMM300279	1000289		VMM3_0000289	289
29240		VMM3_1000292	20MNEVMM300280	1000292		VMM3_0000292	292
29241		VMM3_1000297	20MNEVMM300281	1000297		VMM3_0000297	297
29242		VMM3_1000304	20MNEVMM300282	1000304		VMM3_0000304	304
29243		VMM3_1000306	20MNEVMM300283	1000306		VMM3_0000306	306
29244		VMM3_1000307	20MNEVMM300284	1000307		VMM3_0000307	307
29245		VMM3_1000316	20MNEVMM300285	1000316		VMM3_0000316	316
29246		VMM3_1000318	20MNEVMM300286	1000318		VMM3_0000318	318
29247		VMM3_1000319	20MNEVMM300287	1000319		VMM3_0000319	319
29248		VMM3_1000321	20MNEVMM300288	1000321		VMM3_0000321	321
29249		VMM3_1000324	20MNEVMM300289	1000324		VMM3_0000324	324
29250		VMM3_1000325	20MNEVMM300290	1000325		VMM3_0000325	325
